Canal,SubCanal,Grupo 1 ,Grupo 2,Afiliação,VL Receita Total,Receita Net MDR,Receita de antecipação de recebiveis,Outras Receitas,Custo de Net MDR,Custo de antecipação de recebiveis,Custo de Outras Receitas
DIGITAL,SubCanal 1,Grupo B,LARGE B,177278819,79,12,18,0,9,6,0
DIGITAL,SubCanal 1,Grupo B,FIELD D,177391369,217,217,0,0,152,0,0
DIGITAL,SubCanal 1,Grupo B,PARCERIAS,177467301,44,44,0,0,31,0,0
DIGITAL,SubCanal 1,Grupo C,LIDER HUNTER,177495676,-1,-1,0,0,0,0,0
DIGITAL,SubCanal 1,Grupo B,BASE,177505994,502,502,0,0,351,0,0
DIGITAL,SubCanal 1,Grupo B,INSIDE A,177618593,26398,11965,14432,0,8376,5051,0
DIGITAL,SubCanal 1,Grupo B,BASE,177675864,-6,-6,0,0,-4,0,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,177765178,142,44,49,0,31,17,0
DIGITAL,SubCanal 1,Grupo B,LARGE A,177845491,25951,25951,0,0,18166,0,0
DIGITAL,SubCanal 1,Grupo B,PARCERIAS,177926494,53,53,0,0,37,0,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,177945803,1768,1768,0,0,1238,0,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,178065838,123,32,43,0,22,15,0
DIGITAL,SubCanal 1,Grupo B,PARCERIAS,178161518,593,268,324,0,188,113,0
DIGITAL,SubCanal 1,Grupo B,FIELD B,178167900,19604,1099,18506,0,769,6477,0
DIGITAL,SubCanal 1,Grupo B,INSIDE B,178188489,1064,1064,0,0,745,0,0
DIGITAL,SubCanal 1,Grupo B,BASE,178243600,2990,337,1768,886,236,619,443
DIGITAL,SubCanal 1,Grupo B,PARCERIAS,178334137,15,15,0,0,11,0,0
DIGITAL,SubCanal 1,Grupo B,PARCERIAS,178336337,1,1,0,0,1,0,0
DIGITAL,SubCanal 1,Grupo B,BASE,178422449,63,63,0,0,44,0,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,178422752,49,0,0,0,0,0,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,178562949,170,56,65,0,39,23,0
DIGITAL,SubCanal 1,Grupo B,FIELD D,178691464,3,0,0,3,0,0,1
DIGITAL,SubCanal 1,Grupo B,LARGE B,178696969,97,26,22,0,18,8,0
DIGITAL,SubCanal 1,Grupo B,BASE,178715790,16,16,0,0,12,0,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,178865895,70,11,10,0,8,4,0
DIGITAL,SubCanal 1,Grupo B,PARCERIAS,178879540,67,67,0,0,47,0,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,179124291,103,50,53,0,35,19,0
DIGITAL,SubCanal 1,Grupo B,LARGE B,179140731,284,118,116,0,82,41,0
DIGITAL,SubCanal 1,Grupo B,INSIDE B,179176754,199,199,0,0,139,0,0
DIGITAL,SubCanal 1,Grupo B,BASE,179208124,1078,372,577,0,260,202,0
DIGITAL,SubCanal 1,Grupo D,INSIDE,179210365,3,3,0,0,2,0,0
DIGITAL,SubCanal 1,Grupo B,PARCERIAS,179234627,198,198,0,0,138,0,0
DIGITAL,SubCanal 1,Grupo D,INSIDE,179341480,1801,226,1417,0,158,496,0
DIGITAL,SubCanal 1,Grupo B,BASE,179473184,291,143,0,149,100,0,74
DIGITAL,SubCanal 1,Grupo B,BASE,179496243,88,0,88,0,0,31,0
